timestamp,direction,price,fastEma,slowEma,atr,rsi,gapAbs,gapNorm,tradeOutcome,pnl,exitPrice,holdingPeriod
2025-04-30T06:45:00.000Z,LONG,24349.7,24340.62,24339.38,28.47,55.69,1.23,0.0433,SMALL_PROFIT,232.25,24581.95,183
2025-04-30T07:45:00.000Z,SHORT,24332.7,24339.52,24339.55,36.32,53.59,0.03,0.0008,SMALL_PROFIT,86.45,24246.25,8
2025-04-30T08:00:00.000Z,LONG,24349.5,24341.51,24340.45,35.8,52.76,1.06,0.0297,SMALL_PROFIT,232.45,24581.95,178
2025-04-30T09:45:00.000Z,SHORT,24246.25,24326.58,24334.66,30.32,66.11,8.08,0.2665,SMALL_PROFIT,3.5,24242.75,180
2025-05-02T03:45:00.000Z,LONG,24488.5,24358.96,24348.64,29.68,69,10.32,0.3476,SMALL_PROFIT,93.45,24581.95,3
2025-05-02T06:30:00.000Z,SHORT,24315,24390.64,24397.86,27.69,35.8,7.21,0.2604,SMALL_PROFIT,72.25,24242.75,1
2025-05-05T03:45:00.000Z,LONG,24443.15,24364.34,24363.24,63.45,57.92,1.1,0.0174,SMALL_PROFIT,79.5,24522.65,5
2025-05-06T04:15:00.000Z,SHORT,24391.65,24444.38,24448.03,38.97,40.85,3.65,0.0937,SMALL_PROFIT,30.5,24361.15,7
2025-05-07T07:00:00.000Z,LONG,24388.35,24378.19,24377.96,54.37,50.39,0.22,0.0041,SMALL_PROFIT,26.35,24414.7,8
2025-05-07T07:30:00.000Z,SHORT,24362.05,24375.72,24376.93,58.84,46.13,1.21,0.0205,SMALL_PROFIT,6.15,24355.9,2
2025-05-07T08:30:00.000Z,LONG,24406.9,24376.78,24376.23,58.86,52.65,0.54,0.0092,SMALL_PROFIT,7.8,24414.7,2
2025-05-08T07:45:00.000Z,SHORT,24366.55,24391.5,24393.23,32.58,33.68,1.73,0.053,SMALL_PROFIT,379.25,23987.3,86
2025-05-12T03:45:00.000Z,LONG,24595.2,24125.72,24092.19,60.57,78.57,33.54,0.5537,SMALL_PROFIT,302.8,24898,20
2025-05-13T07:00:00.000Z,SHORT,24644.05,24723.25,24732.54,67.14,41.4,9.29,0.1384,SMALL_PROFIT,84.05,24560,10
